Data,Clic,Impressioni,CTR,Posizione
2026-02-03,0,0,,
2026-02-04,0,0,,
2026-02-05,1,15,6.67%,5.7
2026-02-06,1,17,5.88%,8.1
2026-02-07,0,17,0%,7.7
2026-02-08,0,14,0%,8.2
2026-02-09,1,15,6.67%,8
2026-02-10,0,19,0%,7.9
2026-02-11,2,31,6.45%,7.6
2026-02-12,0,16,0%,7.1
2026-02-13,0,14,0%,8.1
2026-02-14,0,17,0%,7.4
2026-02-15,0,20,0%,6.8
2026-02-16,0,13,0%,9.2
2026-02-17,0,10,0%,10.8
2026-02-18,0,21,0%,6.3
2026-02-19,1,7,14.29%,5.9
2026-02-20,0,0,,
2026-02-21,0,0,,
2026-02-22,0,1,0%,7
2026-02-23,0,1,0%,6
2026-02-24,0,1,0%,9
2026-02-25,0,0,,
2026-02-26,0,1,0%,5
2026-02-27,0,1,0%,10
2026-02-28,0,0,,
2026-03-01,0,0,,
2026-03-02,0,2,0%,8
2026-03-03,0,1,0%,13
